Book_Name,Author_Name,Book_URL,Book_Type,Price,Star_Rating,Reviews
13 Swing Trading Strategies| Pankaj Ladha | Anant Ladha | Invest Aaj For Kal,Pankaj Ladha & Anant Ladha,https://amazon.in/Swing-Trading-Strategies-Pankaj-Invest/dp/9390542588/ref=zg_bs_books_1/000-0000000-0000000?pd_rd_i=9390542588&psc=1,Paperback,₹299.00,Missing,Missing
Atomic Habits: The life-changing million copy bestseller,James Clear,https://amazon.in/Atomic-Habits-James-Clear/dp/1847941834/ref=zg_bs_books_2/000-0000000-0000000?pd_rd_i=1847941834&psc=1,Paperback,₹593.00,4.6 out of 5 stars,"38,185"
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,https://amazon.in/My-First-Library-Boxset-Board/dp/9387779262/ref=zg_bs_books_3/000-0000000-0000000?pd_rd_i=9387779262&psc=1,Board book,₹399.00,4.5 out of 5 stars,"48,570"
The Psychology of Money,Morgan Housel,https://amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268/ref=zg_bs_books_4/000-0000000-0000000?pd_rd_i=9390166268&psc=1,Paperback,₹232.00,4.6 out of 5 stars,"31,286"
Oswaal CBSE Term 2 English Science Social Science & Math Standard Class 10 Sample Question Paper (Set of 4 Books) (For Term-2 2022 Exam) Free Access Code For Oswaal 360,Oswaal Editorial Board,https://amazon.in/Oswaal-English-Science-Standard-Question/dp/9354639941/ref=zg_bs_books_5/000-0000000-0000000?pd_rd_i=9354639941&psc=1,Product Bundle,₹398.00,4.6 out of 5 stars,450
Word Power Made Easy,Norman Lewis,https://amazon.in/Word-Power-Made-Norman-Lewis/dp/0143424688/ref=zg_bs_books_6/000-0000000-0000000?pd_rd_i=0143424688&psc=1,Paperback,₹98.00,4.4 out of 5 stars,"36,869"
Ikigai: The Japanese secret to a long and happy life,Héctor García,https://amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=zg_bs_books_7/000-0000000-0000000?pd_rd_i=178633089X&psc=1,Hardcover,₹375.26,4.6 out of 5 stars,"31,146"
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty",Sudha Murty,https://amazon.in/Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623/ref=zg_bs_books_8/000-0000000-0000000?pd_rd_i=0143333623&psc=1,Paperback,₹155.00,4.6 out of 5 stars,"13,488"
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,https://amazon.in/Rich-Dad-Poor-Middle-Updates/dp/1612680194/ref=zg_bs_books_9/000-0000000-0000000?pd_rd_i=1612680194&psc=1,Mass Market Paperback,₹339.00,4.6 out of 5 stars,"57,148"
27 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2021) 12th Edition,Mrunal Patel,https://amazon.in/Years-Prelims-Topic-wise-Solved-Papers/dp/9355640005/ref=zg_bs_books_10/000-0000000-0000000?pd_rd_i=9355640005&psc=1,Paperback,₹295.00,4.5 out of 5 stars,"1,661"
"Educart Term 2 Class 10 Sample Papers Bundle of Science, Math Standard, Social Science & English Books For 2022 (Based on the CBSE Term-2 Subjective Sample Paper released on 14 Jan 2022) Edubook",Sanjiv Sir,https://amazon.in/Educart-Science-Standard-Subjective-released/dp/B09R1TPZW2/ref=zg_bs_books_11/000-0000000-0000000?pd_rd_i=B09R1TPZW2&psc=1,Product Bundle,₹424.00,4.4 out of 5 stars,433
Mathematics for Class 10 - CBSE - by R.D. Sharma Examination 2022-23,R.D. Sharma,https://amazon.in/Mathematics-Class-10-Examination-2022-23/dp/B09SJ365JL/ref=zg_bs_books_12/000-0000000-0000000?pd_rd_i=B09SJ365JL&psc=1,Paperback,₹514.00,4.3 out of 5 stars,97
DO EPIC SHIT,Ankur Warikoo,https://amazon.in/DO-EPIC-SHIT-Ankur-Warikoo/dp/9391165486/ref=zg_bs_books_13/000-0000000-0000000?pd_rd_i=9391165486&psc=1,Hardcover,₹248.00,4.5 out of 5 stars,"3,663"
My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern Writing),Wonder House Books,https://amazon.in/First-Book-Patterns-Pencil-Control/dp/9387779319/ref=zg_bs_books_14/000-0000000-0000000?pd_rd_i=9387779319&psc=1,Paperback,₹89.00,4.4 out of 5 stars,"16,085"
Oswaal CBSE Term 2 Science Class 10 Sample Question Paper Book (For Term-2 2022 Exam),Oswaal Editorial Board,https://amazon.in/Oswaal-Science-Sample-Question-Term-2/dp/935463897X/ref=zg_bs_books_15/000-0000000-0000000?pd_rd_i=935463897X&psc=1,Paperback,₹95.00,4.5 out of 5 stars,78
"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids",Maple Press,https://amazon.in/First-Mythology-Tale-Illustrated-Books/dp/9390292964/ref=zg_bs_books_16/000-0000000-0000000?pd_rd_i=9390292964&psc=1,Paperback,₹170.00,4.4 out of 5 stars,"3,794"
101 Panchatantra Stories for Children: Colourful Illustrated Stories,Om Books Editorial Team,https://amazon.in/101-Panchatantra-Stories-Children-Illustrated/dp/935376517X/ref=zg_bs_books_17/000-0000000-0000000?pd_rd_i=935376517X&psc=1,Paperback,₹119.00,4.5 out of 5 stars,"6,092"
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,https://amazon.in/Quantitative-Aptitude-Competitive-Examinations-Aggarwal/dp/9352534026/ref=zg_bs_books_18/000-0000000-0000000?pd_rd_i=9352534026&psc=1,Paperback,₹465.00,4.4 out of 5 stars,"24,610"
"Oswaal CBSE Question Bank Chapterwise For Term 2, Class 10, Science (For 2022 Exam)",Oswaal Editorial Board,https://amazon.in/Oswaal-Question-Chapterwise-Class-Science/dp/9354636586/ref=zg_bs_books_19/000-0000000-0000000?pd_rd_i=9354636586&psc=1,Paperback,₹193.00,4.4 out of 5 stars,271
The Power of Your Subconscious Mind,Joseph Murphy,https://amazon.in/Power-Your-Subconscious-Mind/dp/8194790832/ref=zg_bs_books_20/000-0000000-0000000?pd_rd_i=8194790832&psc=1,Paperback,₹125.00,4.5 out of 5 stars,"51,281"
Oswaal CBSE Term 2 Mathematics Standard Class 10 Sample Question Paper Book (For Term-2 2022 Exam),Oswaal Editorial Board,https://amazon.in/Oswaal-Mathematics-Standard-Sample-Question/dp/9354639135/ref=zg_bs_books_21/000-0000000-0000000?pd_rd_i=9354639135&psc=1,Paperback,₹104.00,4.4 out of 5 stars,95
As a Man Thinketh,James Allen,https://amazon.in/As-Man-Thinketh-James-Allen/dp/9386538172/ref=zg_bs_books_22/000-0000000-0000000?pd_rd_i=9386538172&psc=1,Paperback,₹69.00,4.4 out of 5 stars,"7,702"
How to Win Friends and Influence People,Dale Carnegie,https://amazon.in/How-Win-Friends-Influence-People/dp/8129140179/ref=zg_bs_books_23/000-0000000-0000000?pd_rd_i=8129140179&psc=1,Paperback,₹84.93,4.5 out of 5 stars,"64,437"
Best of Children’s Classics (Set of 5 Books): Perfect Gift Set for Kids,Antoine de Saint-Exupéry,https://amazon.in/Best-Childrens-Classics-Set-Books/dp/9389432006/ref=zg_bs_books_24/000-0000000-0000000?pd_rd_i=9389432006&psc=1,Paperback,₹487.00,4.4 out of 5 stars,"3,719"
Indian Polity ( English| 6th Revised Edition) | UPSC | Civil Services Exam | State Administrative Exams,M Laxmikanth,https://amazon.in/Indian-English-Revised-Services-Administrative/dp/9354600352/ref=zg_bs_books_25/000-0000000-0000000?pd_rd_i=9354600352&psc=1,Paperback,₹619.00,4.4 out of 5 stars,"1,061"
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,https://amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071/ref=zg_bs_books_26/000-0000000-0000000?pd_rd_i=9351772071&psc=1,Paperback,₹125.00,4.5 out of 5 stars,"17,234"
Very First Sight Words Sentences Level 1,Dreamland Publications,https://amazon.in/First-Sight-Words-Sentences-Level/dp/9387971996/ref=zg_bs_books_27/000-0000000-0000000?pd_rd_i=9387971996&psc=1,Paperback,₹156.00,4.5 out of 5 stars,"9,207"
T.S. Grewal's Double Entry Book Keeping: Accounting for Not-for-Profit Organizations and Partnership Firms -(Vol. 1) Textbook for CBSE Class 12 (2022-23 Session),T.S. Grewal,https://amazon.in/Grewals-Double-Entry-Keeping-Profit/dp/9390851556/ref=zg_bs_books_28/000-0000000-0000000?pd_rd_i=9390851556&psc=1,Paperback,₹455.00,4.4 out of 5 stars,20
It Ends With Us: A Novel: Volume 1,Colleen Hoover,https://amazon.in/Ends-Us-Novel-Colleen-Hoover/dp/1501110365/ref=zg_bs_books_29/000-0000000-0000000?pd_rd_i=1501110365&psc=1,Paperback,₹155.00,4.6 out of 5 stars,"52,921"
CBSE All In One Social Science Class 10 2022-23 Edition,Madhumita Pattrea,https://amazon.in/CBSE-Social-Science-Class-2022-23/dp/9326193268/ref=zg_bs_books_30/000-0000000-0000000?pd_rd_i=9326193268&psc=1,Paperback,₹382.00,4.4 out of 5 stars,6
"Combo Pack: Lakhmir Singh Class 10 Science (Biology, Physics, Chemistry) - Examination 2022-23",Manjit Kaur; Lakhmir Singh,https://amazon.in/Combo-Pack-Lakhmir-Chemistry-Examination/dp/B09PKHZZMB/ref=zg_bs_books_1/000-0000000-0000000?pd_rd_i=B09PKHZZMB&psc=1,Paperback,"₹1,150.00",4.4 out of 5 stars,41
Moral Story Books for Kids (Pack of 10 Books) | 160 Total Pages | Illustrated Stories,Young Angels Publishing,https://amazon.in/Moral-Story-Books-Illustrated-Stories/dp/9381569886/ref=zg_bs_books_2/000-0000000-0000000?pd_rd_i=9381569886&psc=1,Paperback,₹240.00,4.3 out of 5 stars,"4,185"
Picture Books Collection for Early Learning (Set of 12),E C Axus,https://amazon.in/Picture-Books-Collection-Early-Learning/dp/B01M0QGF0P/ref=zg_bs_books_3/000-0000000-0000000?pd_rd_i=B01M0QGF0P&psc=1,Cards,₹228.00,4.3 out of 5 stars,"14,741"
"MTG Objective NCERT at your FINGERTIPS - Biology, Best NEET Books (Based on NCERT Pattern - Latest & Revised Edition 2022)",MTG Editorial Board,https://amazon.in/MTG-Objective-NCERT-your-FINGERTIPS/dp/9391191789/ref=zg_bs_books_4/000-0000000-0000000?pd_rd_i=9391191789&psc=1,Paperback,₹549.00,4.6 out of 5 stars,"7,923"
"Tuesdays With Morrie: An old man, a young man, and life's greatest lesson",Mitch Albom,https://amazon.in/Tuesdays-Morrie-young-greatest-lesson/dp/0751527378/ref=zg_bs_books_5/000-0000000-0000000?pd_rd_i=0751527378&psc=1,Paperback,₹206.00,4.6 out of 5 stars,"13,718"
The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,https://amazon.in/Almanack-Naval-Ravikant-Wealth-Happiness/dp/9354893899/ref=zg_bs_books_6/000-0000000-0000000?pd_rd_i=9354893899&psc=1,Paperback,₹210.00,4.7 out of 5 stars,"4,728"
Brain Activity Book for Kids - 200+ Activities for Age 3+,Maple Press,https://amazon.in/Brain-Activity-Book-Kids-Activities/dp/9391924298/ref=zg_bs_books_7/000-0000000-0000000?pd_rd_i=9391924298&psc=1,Paperback,₹76.00,4.5 out of 5 stars,427
"India that is Bharat: Coloniality, Civilisation, Constitution",J Sai Deepak,https://amazon.in/India-that-Bharat-Civilisation-Constitution/dp/9354352499/ref=zg_bs_books_8/000-0000000-0000000?pd_rd_i=9354352499&psc=1,Hardcover,₹499.00,4.8 out of 5 stars,"3,150"
"The Courage To Be Disliked: How to free yourself, change your life and achieve real happiness (Courage To series)",Ichiro Kishimi and Fumitake Koga,https://amazon.in/Courage-Disliked-Ichiro-Kishimi-Fumitake/dp/1760630721/ref=zg_bs_books_9/000-0000000-0000000?pd_rd_i=1760630721&psc=1,Hardcover,₹324.00,4.5 out of 5 stars,"2,608"
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Dale Carnegie,https://amazon.in/Worlds-Greatest-Personal-Growth-Wealth/dp/9389432014/ref=zg_bs_books_10/000-0000000-0000000?pd_rd_i=9389432014&psc=1,Paperback,₹299.00,4.5 out of 5 stars,"18,183"
"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write and Practice Capital Letters, Small Letters, Patterns and Numbers 1 to 10)",Wonder House Books,https://amazon.in/Writing-Fun-Set-Books-Practice/dp/9387779777/ref=zg_bs_books_11/000-0000000-0000000?pd_rd_i=9387779777&psc=1,Paperback,₹159.00,4.3 out of 5 stars,"8,532"
"Karma: A Yogi's Guide to Crafting Your Destiny | Spirituality, Self-improvement & Self help books by Sadhguru | Penguin",Sadhguru,https://amazon.in/Karma-PUBLISHERS-BESTSELLER-spirituality-self-improvement/dp/0143452673/ref=zg_bs_books_12/000-0000000-0000000?pd_rd_i=0143452673&psc=1,Paperback,₹208.36,4.7 out of 5 stars,"8,136"
The Alchemist,Paulo Coelho,https://amazon.in/Alchemist-Paulo-Coelho/dp/8172234988/ref=zg_bs_books_13/000-0000000-0000000?pd_rd_i=8172234988&psc=1,Paperback,₹250.00,4.6 out of 5 stars,"73,362"
"Oswaal CBSE Question Bank Chapterwise For Term 2, Class 10, Social Science (For 2022 Exam)",Oswaal Editorial Board,https://amazon.in/Oswaal-Question-Chapterwise-Social-Science/dp/9354636632/ref=zg_bs_books_14/000-0000000-0000000?pd_rd_i=9354636632&psc=1,Paperback,₹190.00,4.4 out of 5 stars,243
CBSE All In One English Core Class 12 2022-23 Edition,Nandini Sharma Srishti Agarwal,https://amazon.in/CBSE-English-Core-Class-2022-23/dp/9326193101/ref=zg_bs_books_15/000-0000000-0000000?pd_rd_i=9326193101&psc=1,Paperback,₹381.00,3.9 out of 5 stars,6
"Oswal - Gurukul 36 Sample Question Papers Commerce CBSE Class 12 Term II Exam 2022 : Solved New SQP Pattern (Accountancy, Business Studies, Economics, Mathematics, English, Physical Education)",Oswal - Gurukul,https://amazon.in/Oswal-Accountancy-Economics-Mathematics-Education/dp/9392563663/ref=zg_bs_books_16/000-0000000-0000000?pd_rd_i=9392563663&psc=1,Paperback,₹309.00,4.4 out of 5 stars,27
Great Stories for Children,Ruskin Bond,https://amazon.in/Great-Stories-Children-Ruskin-Bond/dp/8129118920/ref=zg_bs_books_17/000-0000000-0000000?pd_rd_i=8129118920&psc=1,Paperback,₹122.00,4.5 out of 5 stars,"9,204"
"Life's Amazing Secrets: How to Find Balance and Purpose in Your Life | Inspirational Zen book on motivation, self-development & healthy living",Gaur Gopal Das,https://amazon.in/Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295/ref=zg_bs_books_18/000-0000000-0000000?pd_rd_i=0143442295&psc=1,Paperback,₹175.00,4.6 out of 5 stars,"14,924"
CBSE All In One English Language & Literature Class 10 2022-23 Edition,Srishti Agarwal,https://amazon.in/English-Language-Literature-Class-2022-23/dp/B09RMZT7B8/ref=zg_bs_books_19/000-0000000-0000000?pd_rd_i=B09RMZT7B8&psc=1,Paperback,₹360.00,4.6 out of 5 stars,7
"Tiger of Drass: Capt. Anuj Nayyar, 23, Kargil Hero",Meena Nayyar,https://amazon.in/Tiger-Drass-Capt-Nayyar-Kargil/dp/9354229263/ref=zg_bs_books_20/000-0000000-0000000?pd_rd_i=9354229263&psc=1,Paperback,₹195.00,4.9 out of 5 stars,54
